airport_name,display_name,iata_code,icao_code,ourairports_ident,country_code,country_name,region_code,city,municipality,latitude,longitude,airport_type,scheduled_service,annual_passengers,passenger_year,passenger_tier,strategic_priority,automation_potential_score,automation_potential_tier,website,linkedin_url,source_identity,source_traffic,source_url
Hartsfield Jackson Atlanta International Airport,Hartsfield Jackson Atlanta International Airport,ATL,KATL,KATL,US,United States,US-GA,Atlanta,Atlanta,33.6367,-84.428101,large_airport,yes,106302208,2025,mega_hub,strategic,90,very_high,https://www.atl.com,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.atl.com/wp-content/uploads/2026/02/ATL-ATR-2512_revF.pdf
Dubai International Airport,Dubai International Airport,DXB,OMDB,OMDB,AE,United Arab Emirates,AE-DU,Dubai,Dubai,25.24979,55.370992,large_airport,yes,95200000,2025,mega_hub,strategic,90,very_high,https://www.dubaiairport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://media.dubaiairports.ae/dxb-sets-global-benchmark-as-record-traffic-become-the-norm/
Tokyo Haneda International Airport,Tokyo Haneda International Airport,HND,RJTT,RJTT,JP,Japan,JP-13,Tokyo,Tokyo,35.549678,139.786958,large_airport,yes,85900617,2024,mega_hub,strategic,90,very_high,http://www.haneda-airport.jp/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://aci.aero/2025/07/08/worlds-busiest-airports-revealed-in-final-global-rankings/
Dallas Fort Worth International Airport,Dallas Fort Worth International Airport,DFW,KDFW,KDFW,US,United States,US-TX,Dallas-Fort Worth,Dallas-Fort Worth,32.896801,-97.038002,large_airport,yes,85660127,2025,mega_hub,strategic,90,very_high,https://www.dfwairport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://images.ctfassets.net/m2p70vmwc019/1PS2eBQHXupM6TomhuPAOT/2eab385ad698121df76760689736021d/December_2025_Pax_Report.pdf
Shanghai Pudong International Airport,Shanghai Pudong International Airport,PVG,ZSPD,ZSPD,CN,China,CN-31,Shanghai (Pudong),Shanghai (Pudong),31.1434,121.805,large_airport,yes,84994548,2025,mega_hub,strategic,90,very_high,https://www.shairport.com/enpd/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.wikidata.org/entity/Q36420
Chicago O'Hare International Airport,Chicago O'Hare International Airport,ORD,KORD,KORD,US,United States,US-IL,Chicago,Chicago,41.9786,-87.9048,large_airport,yes,84851825,2025,mega_hub,strategic,90,very_high,https://www.flychicago.com/ohare/home/pages/default.aspx,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.flychicago.com/SiteCollectionDocuments/Business/FactAndFigures/AirTraffic/1225%20ORD%20SUMMARY.pdf
İstanbul Airport,İstanbul Airport,IST,LTFM,LTFM,TR,Turkey,TR-34,Istanbul,Istanbul,41.274874,28.732136,large_airport,yes,84457421,2025,mega_hub,strategic,90,very_high,https://www.istairport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.dhmi.gov.tr/Sayfalar/EN/Statistics.aspx
London Heathrow Airport,London Heathrow Airport,LHR,EGLL,EGLL,GB,United Kingdom,GB-ENG,London,London,51.470748,-0.459909,large_airport,yes,83884572,2024,mega_hub,strategic,90,very_high,http://www.heathrow.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://aci.aero/2025/07/08/worlds-busiest-airports-revealed-in-final-global-rankings/
Denver International Airport,Denver International Airport,DEN,KDEN,KDEN,US,United States,US-CO,Denver,Denver,39.860027,-104.673792,large_airport,yes,82427962,2025,mega_hub,strategic,90,very_high,http://www.flydenver.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://cdn.flydenver.com/app/uploads/2026/01/27162532/December-2025-AirlineDashboard-FlyDenver.pdf
Indira Gandhi International Airport,Indira Gandhi International Airport,DEL,VIDP,VIDP,IN,India,IN-DL,New Delhi,New Delhi,28.55563,77.09519,large_airport,yes,77820834,2024,mega_hub,strategic,90,very_high,https://www.newdelhiairport.in/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://aci.aero/2025/07/08/worlds-busiest-airports-revealed-in-final-global-rankings/
Guangzhou Baiyun International Airport,Guangzhou Baiyun International Airport,CAN,ZGGG,ZGGG,CN,China,CN-44,Guangzhou (Huadu),Guangzhou (Huadu),23.392401,113.299004,large_airport,yes,76370000,2024,mega_hub,strategic,90,very_high,http://www.baiyunairport.com/english/index.jsp,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://russian.news.cn/20250104/816bc54c5fa74f9682208a91120f466e/c.html
Los Angeles International Airport,Los Angeles International Airport,LAX,KLAX,KLAX,US,United States,US-CA,Los Angeles,Los Angeles,33.942501,-118.407997,large_airport,yes,73709594,2025,mega_hub,strategic,90,very_high,https://www.flylax.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.lawa.org/sites/lawa/files/2026-01/Tcom%201225.pdf
Charles de Gaulle International Airport,Charles de Gaulle International Airport,CDG,LFPG,LFPG,FR,France,FR-IDF,"Paris (Roissy-en-France, Val-d'Oise)","Paris (Roissy-en-France, Val-d'Oise)",49.00896,2.554117,large_airport,yes,67421316,2023,mega_hub,strategic,88,very_high,http://www.aeroportsdeparis.fr/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.parisaeroport.fr/docs/default-source/groupe-fichiers/finance/information-r%C3%A9glement%C3%A9e-amf/communiqu%C3%A9s-information-permanente/2023/a%C3%A9roports-de-paris-s-a---trafic-du-mois-de-d%C3%A9cembre-2023.pdf?sfvrsn=8508483d_0
Amsterdam Airport Schiphol,Amsterdam Airport Schiphol,AMS,EHAM,EHAM,NL,Netherlands,NL-NH,Amsterdam,Amsterdam,52.308601,4.76389,large_airport,yes,66828453,2024,mega_hub,strategic,88,very_high,https://www.schiphol.nl/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.wikidata.org/entity/Q9694
Shenzhen Bao'an International Airport,Shenzhen Bao'an International Airport,SZX,ZGSZ,ZGSZ,CN,China,CN-44,Shenzhen,Shenzhen,22.639474,113.803262,large_airport,yes,66485213,2025,mega_hub,strategic,88,very_high,https://www.szairport.com/szairporten/index.shtml,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.chinaairports.org.cn/uploads/file/20260226/1772085929859899.xlsx
Adolfo Suárez Madrid–Barajas Airport,Adolfo Suárez Madrid–Barajas Airport,MAD,LEMD,LEMD,ES,Spain,ES-MD,Madrid,Madrid,40.493407,-3.572249,large_airport,yes,66197066,2024,mega_hub,strategic,88,very_high,https://www.aena.es/en/adolfo-suarez-madrid-barajas.html,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.wikidata.org/entity/Q166276
Suvarnabhumi Airport,Suvarnabhumi Airport,BKK,VTBS,VTBS,TH,Thailand,TH-10,Bangkok,Bangkok,13.6811,100.747002,large_airport,yes,62902183,2025,mega_hub,strategic,88,very_high,https://suvarnabhumi.airportthai.co.th/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://app.powerbi.com/view?r=eyJrIjoiYmM2YjA2OWUtZmQxOS00YTkxLWJlNzMtMjE2NjJkMjMxYTg1IiwidCI6ImM2N2ZmODk5LWJlZjUtNGQ3MC04ZmE1LWUzNTgzZGM3Njg3MCIsImMiOjEwfQ%3D%3D
John F. Kennedy International Airport,John F. Kennedy International Airport,JFK,KJFK,KJFK,US,United States,US-NY,New York,New York,40.639447,-73.779317,large_airport,yes,62440306,2023,mega_hub,strategic,88,very_high,https://www.jfkairport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.wikidata.org/entity/Q8685
Frankfurt Main Airport,Frankfurt Main Airport,FRA,EDDF,EDDF,DE,Germany,DE-HE,Frankfurt am Main,Frankfurt am Main,50.026706,8.55835,large_airport,yes,61564957,2024,mega_hub,strategic,88,very_high,https://www.frankfurt-airport.de/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.fraport.com/de/newsroom/pressemitteilungen/2025/verkehrszahlen/fraport-verkehrszahlen-2024--frankfurt-bleibt-fuehrend-bei-der-h.html
Singapore Changi Airport,Singapore Changi Airport,SIN,WSSS,WSSS,SG,Singapore,SG-04,Singapore,Singapore,1.35019,103.994003,large_airport,yes,58900000,2023,mega_hub,strategic,88,very_high,http://www.changiairport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.changiairport.com/en/corporate/about-us/traffic-statistics.html
Orlando International Airport,Orlando International Airport,MCO,KMCO,KMCO,US,United States,US-FL,Orlando,Orlando,28.429399490356445,-81.30899810791016,large_airport,yes,57675573,2025,mega_hub,strategic,88,very_high,http://www.orlandoairports.net/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://assets.ctfassets.net/qiecpoxp4bka/5awMt17Z3Jh0cEH3H7NVMy/e2f63579f35562f38582d3fab00e6dae/trfccy2025.pdf
Josep Tarradellas Barcelona-El Prat Airport,Josep Tarradellas Barcelona-El Prat Airport,BCN,LEBL,LEBL,ES,Spain,ES-CT,Barcelona,Barcelona,41.2971,2.07846,large_airport,yes,57483036,2025,mega_hub,strategic,88,very_high,https://www.aena.es/en/josep-tarradellas-barcelona-el-prat.html,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.wikidata.org/entity/Q56973
Miami International Airport,Miami International Airport,MIA,KMIA,KMIA,US,United States,US-FL,Miami,Miami,25.796011,-80.289751,large_airport,yes,55314661,2025,mega_hub,strategic,88,very_high,https://www.miami-airport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.miami-airport.com/library/pdfdoc/Traffic%20Reports/Year-End%202025%20Traffic%20Report.pdf
Harry Reid International Airport,Harry Reid International Airport,LAS,KLAS,KLAS,US,United States,US-NV,Las Vegas,Las Vegas,36.083361,-115.151817,large_airport,yes,54989185,2025,mega_hub,strategic,88,very_high,https://www.harryreidairport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://assets.ctfassets.net/2pnrhs9eukyp/4dEgTCQUrS3BabQeFULFym/21412528282ed4c5e44066fcdd2eee88/Traffic_Summary_Report_-_Dec_2025__Passengers_.pdf
Chengdu Tianfu International Airport,Chengdu Tianfu International Airport,TFU,ZUTF,ZUTF,CN,China,CN-51,Chengdu (Jianyang),Chengdu (Jianyang),30.31252,104.441284,large_airport,yes,54905784,2024,mega_hub,strategic,88,very_high,https://www.sctfia.com,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.caac.gov.cn/XXGK/XXGK/TJSJ/202503/P020250314353470214193.xlsx
Soekarno-Hatta International Airport,Soekarno-Hatta International Airport,CGK,WIII,WIII,ID,Indonesia,ID-BT,Jakarta,Jakarta,-6.12557,106.655998,large_airport,yes,54809500,2024,mega_hub,strategic,88,very_high,http://www.jakartasoekarnohattaairport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.tempo.co/hiburan/sepanjang-tahun-2024-jumlah-penumpang-di-bandara-soekarno-hatta-mencapai-54-8-juta-naik-7-persen--1192094
San Francisco International Airport,San Francisco International Airport,SFO,KSFO,KSFO,US,United States,US-CA,San Francisco,San Francisco,37.619806,-122.374821,large_airport,yes,54532613,2025,mega_hub,strategic,88,very_high,http://www.flysfo.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.flysfo.com/sites/default/files/2026-02/Dec%202025%20and%20CYTD%20SFO%20Air%20Traffic%20Summary.pdf
Beijing Daxing International Airport,Beijing Daxing International Airport,PKX,ZBAD,ZBAD,CN,China,CN-11,Beijing,Beijing,39.501289,116.413967,large_airport,yes,53618400,2025,mega_hub,strategic,88,very_high,https://www.bdia.com.cn/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://english.beijing.gov.cn/livinginbeijing/transportation/airport/202603/t20260306_4551020.html
Charlotte Douglas International Airport,Charlotte Douglas International Airport,CLT,KCLT,KCLT,US,United States,US-NC,Charlotte,Charlotte,35.2140007019043,-80.94309997558594,large_airport,yes,53574392,2025,mega_hub,strategic,88,very_high,http://www.charlotteairport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://assets.ctfassets.net/jaw4bomip9l3/1Brp07X2UP2OKt7YYFM6TY/e733af9daca18ab4aae8e1aa1b7800d0/December_2025_Airline_Activity_Report.pdf
Hong Kong International Airport,Hong Kong International Airport,HKG,VHHH,VHHH,HK,Hong Kong,HK-NT,Hong Kong,Hong Kong,22.31184,113.914862,large_airport,yes,53055000,2024,mega_hub,strategic,88,very_high,http://www.hongkongairport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.hongkongairport.com/iwov-resources/file/the-airport/hkia-at-a-glance/facts-figures/2024e.pdf
Beijing Capital International Airport,Beijing Capital International Airport,PEK,ZBAA,ZBAA,CN,China,CN-11,Beijing,Beijing,40.077349,116.596702,large_airport,yes,52879156,2024,mega_hub,strategic,88,very_high,https://en.bcia.com.cn/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.wikidata.org/entity/Q32190
Seattle–Tacoma International Airport,Seattle–Tacoma International Airport,SEA,KSEA,KSEA,US,United States,US-WA,Seattle,Seattle,47.447943,-122.310276,large_airport,yes,52715181,2025,mega_hub,strategic,88,very_high,https://www.portseattle.org/sea-tac,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.portseattle.org/page/airport-statistics
Phoenix Sky Harbor International Airport,Phoenix Sky Harbor International Airport,PHX,KPHX,KPHX,US,United States,US-AZ,Phoenix,Phoenix,33.435302,-112.005905,large_airport,yes,51618649,2025,mega_hub,strategic,88,very_high,http://phoenix.gov/skyharborairport/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.skyharbor.com/media/rz3fadnw/annual-stats-phx-2025.pdf
