airport_name,display_name,iata_code,icao_code,ourairports_ident,country_code,country_name,region_code,city,municipality,latitude,longitude,airport_type,scheduled_service,source_identity
Al Ghaydah International Airport,Al Ghaydah International Airport,AAY,OYGD,OYGD,YE,Yemen,YE-MR,Al Ghaydah,Al Ghaydah,16.193341,52.174186,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Asaba International Airport,Asaba International Airport,ABB,DNAS,DNAS,NG,Nigeria,NG-DE,Asaba,Asaba,6.204167,6.665278,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Kebri Dahar Airport,Kebri Dahar Airport,ABK,HAKD,HAKD,ET,Ethiopia,ET-SO,Kebri Dahar,Kebri Dahar,6.732577,44.241339,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Aden International Airport,Aden International Airport,ADE,OYAA,OYAA,YE,Yemen,YE-AD,Aden,Aden,12.829564,45.029976,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Marka International (Amman Civil) Airport,Marka International (Amman Civil) Airport,ADJ,OJAM,OJAM,JO,Jordan,JO-AM,Amman,Amman,31.9727,35.9916,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Abeche Airport,Abeche Airport,AEH,FTTC,FTTC,TD,Chad,TD-OD,Abeche,Abeche,13.847,20.844299,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Abu Musa Island Airport,Abu Musa Island Airport,AEU,OIBA,OIBA,IR,Iran,IR-22,Abu Musa,Abu Musa,25.8757,55.033001,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Sabzevar National Airport,Sabzevar National Airport,AFZ,OIMS,OIMS,IR,Iran,IR-09,Sabzevar,Sabzevar,36.16809844970703,57.59519958496094,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Maa Mahamaya Airport,Maa Mahamaya Airport,AHA,VEAP,IN-0393,IN,India,IN-CT,Ambikapur,Ambikapur,22.98753,83.19612,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Ouani Airport,Ouani Airport,AJN,FMCV,FMCV,KM,Comoros,KM-A,Ouani,Ouani,-12.131047,44.430044,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Kufra Airport,Kufra Airport,AKF,HLKF,HLKF,LY,Libya,LY-KF,Kufra,Kufra,24.178699493408203,23.31399917602539,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Sittwe Airport,Sittwe Airport,AKY,VYSW,VYSW,MM,Myanmar,MM-16,Sittwe,Sittwe,20.133165,92.870693,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Arba Minch Airport,Arba Minch Airport,AMH,HAAM,HAAM,ET,Ethiopia,ET-SN,Arba Minch,Arba Minch,6.03939,37.5905,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Faleolo International Airport,Faleolo International Airport,APW,NSFA,NSFA,WS,Samoa,WS-AA,Apia,Apia,-13.83,-172.007996,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
King Hussein International Airport,King Hussein International Airport,AQJ,OJAQ,OJAQ,JO,Jordan,JO-AQ,Aqaba,Aqaba,29.611601,35.018101,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Andros Town Airport,Andros Town Airport,ASD,MYAF,MYAF,BS,Bahamas,BS-NS,Andros Town,Andros Town,24.697901,-77.795601,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
RAF Ascension Island,RAF Ascension Island,ASI,FHAW,FHAW,SH,"Saint Helena, Ascension and Tristan da Cunha",SH-AC,Cat Hill,Cat Hill,-7.970179,-14.392744,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Asosa Airport,Asosa Airport,ASO,HASO,HASO,ET,Ethiopia,ET-BE,Asosa,Asosa,10.018500328063965,34.586299896240234,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Amboseli Airport,Amboseli Airport,ASV,HKAM,HKAM,KE,Kenya,KE-34,Ol Tukai,Ol Tukai,-2.644786,37.252922,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Arthur's Town Airport,Arthur's Town Airport,ATC,MYCA,MYCA,BS,Bahamas,BS-CI,Arthur's Town,Arthur's Town,24.6294,-75.673797,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Arvaikheer Airport,Arvaikheer Airport,AVK,ZMAH,ZMAH,MN,Mongolia,MN-055,Arvaikheer,Arvaikheer,46.250301361083984,102.802001953125,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Melbourne Avalon International Airport,Melbourne Avalon International Airport,AVV,YMAV,YMAV,AU,Australia,AU-VIC,Geelong/Melbourne,Geelong/Melbourne,-38.040269,144.467196,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Hawassa International Airport,Hawassa International Airport,AWA,HALA,HALA,ET,Ethiopia,ET-XSD,Hawassa,Hawassa,7.100611,38.396455,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Clayton J. Lloyd International Airport,Clayton J. Lloyd International Airport,AXA,TQPF,TQPF,AI,Anguilla,AI-U-A,The Valley,The Valley,18.204773,-63.05383,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Spring Point Airport,Spring Point Airport,AXP,MYAP,MYAP,BS,Bahamas,BS-AK,Spring Point,Spring Point,22.441799,-73.970901,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Axum Airport,Axum Airport,AXU,HAAX,HAAX,ET,Ethiopia,ET-TI,Axum,Axum,14.1468,38.7728,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Touat-Cheikh Sidi Mohamed Belkebir Airport,Touat-Cheikh Sidi Mohamed Belkebir Airport,AZR,DAUA,DAUA,DZ,Algeria,DZ-01,Adrar,Adrar,27.837601,-0.186414,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Battambang Airport,Battambang Airport,BBM,VDBG,VDBG,KH,Cambodia,KH-2,Battambang,Battambang,13.0956,103.223999,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Bario Airport,Bario Airport,BBN,WBGZ,WBGZ,MY,Malaysia,MY-13,Bario,Bario,3.734648,115.478548,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Berbera Airport,Berbera Airport,BBO,HCMI,HCMI,SO,Somalia,SO-WO,Berbera,Berbera,10.385035,44.936723,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Burton-Nibbs International Airport,Burton-Nibbs International Airport,BBQ,TAPB,AG-0001,AG,Antigua and Barbuda,AG-10,Codrington,Codrington,17.621194,-61.798347,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Gustavo Rizo Airport,Gustavo Rizo Airport,BCA,MUBA,MUBA,CU,Cuba,CU-14,Baracoa,Baracoa,20.365299224853516,-74.5062026977539,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Baucau Airport,Baucau Airport,BCH,WPEC,WPEC,TL,Timor-Leste,TL-BA,Baucau,Baucau,-8.486479,126.399981,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Barcaldine Airport,Barcaldine Airport,BCI,YBAR,YBAR,AU,Australia,AU-QLD,Barcaldine,Barcaldine,-23.566268,145.302086,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Jinka Airport,Jinka Airport,BCO,HABC,HAJK,ET,Ethiopia,ET-SN,Jinka,Jinka,5.749655,36.560165,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Sir Abubakar Tafawa Balewa Bauchi State International Airport,Sir Abubakar Tafawa Balewa Bauchi State International Airport,BCU,DNBC,DNBC,NG,Nigeria,NG-BA,Bauchi,Bauchi,10.482833,9.744,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Bandar Lengeh International Airport,Bandar Lengeh International Airport,BDH,OIBL,OIBL,IR,Iran,IR-22,Bandar Lengeh,Bandar Lengeh,26.532283,54.82484,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Gbadolite Airport,Gbadolite Airport,BDT,FZFD,FZFD,CD,Democratic Republic of the Congo,CD-NU,Gbadolite,Gbadolite,4.252745,20.975271,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Benina International Airport,Benina International Airport,BEN,HLLB,HLLB,LY,Libya,LY-BA,Benina,Benina,32.096802,20.269501,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Bedourie Airport,Bedourie Airport,BEU,YBIE,YBIE,AU,Australia,AU-QLD,Bedourie,Bedourie,-24.3461,139.460007,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Bengbu Tenghu Airport,Bengbu Tenghu Airport,BFY,ZSBA,CN-0476,CN,China,CN-34,Bengbu,Bengbu,33.166292,117.058344,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Bahawalpur Airport,Bahawalpur Airport,BHV,OPBW,OPBW,PK,Pakistan,PK-PB,Bahawalpur,Bahawalpur,29.348100662231445,71.71800231933594,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
South Bimini Airport,South Bimini Airport,BIM,MYBS,MYBS,BS,Bahamas,BS-BI,South Bimini,South Bimini,25.6998996735,-79.2647018433,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Bojnord Airport,Bojnord Airport,BJB,OIMN,OIMN,IR,Iran,IR-28,Bojnord,Bojnord,37.49300003051758,57.30820083618164,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Banjul International Airport,Banjul International Airport,BJL,GBYD,GBYD,GM,Gambia,GM-W,Banjul (Yundum),Banjul (Yundum),13.338,-16.652201,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Bahir Dar Airport,Bahir Dar Airport,BJR,HABD,HABD,ET,Ethiopia,ET-AM,Bahir Dar,Bahir Dar,11.6081,37.321602,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Balkanabat International Airport,Balkanabat International Airport,BKN,UTAN,TM-0002,TM,Turkmenistan,TM-B,Balkanabat,Balkanabat,39.681052,54.206008,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Blackall Airport,Blackall Airport,BKQ,YBCK,YBCK,AU,Australia,AU-QLD,Blackall,Blackall,-24.431678,145.429716,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
General José Antonio Anzoategui International Airport,General José Antonio Anzoategui International Airport,BLA,SVBC,SVBC,VE,Venezuela,VE-B,Barcelona,Barcelona,10.111111,-64.692222,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Chileka International Airport,Chileka International Airport,BLZ,FWCL,FWCL,MW,Malawi,MW-BL,Blantyre,Blantyre,-15.677189,34.972319,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar Airport,BMW,DATM,DATM,DZ,Algeria,DZ-52,Bordj Badji Mokhtar,Bordj Badji Mokhtar,21.3778,0.92698,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Barinas Airport,Barinas Airport,BNS,SVBI,SVBI,VE,Venezuela,VE-E,Barinas,Barinas,8.615,-70.214167,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Bokeo International Airport,Bokeo International Airport,BOR,VLBK,LA-0006,LA,Laos,LA-BK,Ton Phueng,Ton Phueng,20.323986,100.165392,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Besalampy Airport,Besalampy Airport,BPY,FMNQ,FMNQ,MG,Madagascar,MG-M,Besalampy,Besalampy,-16.74453,44.482484,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Boulia Airport,Boulia Airport,BQL,YBOU,YBOU,AU,Australia,AU-QLD,,,-22.913299560546875,139.89999389648438,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
J F Mitchell Airport,J F Mitchell Airport,BQU,TVSB,TVSB,VC,Saint Vincent and the Grenadines,VC-06,Bequia,Bequia,12.9884,-61.262001,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Bourke Airport,Bourke Airport,BRK,YBKE,YBKE,AU,Australia,AU-NSW,,,-30.039199829101562,145.95199584960938,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Jacinto Lara International Airport,Jacinto Lara International Airport,BRM,SVBM,SVBM,VE,Venezuela,VE-K,Barquisimeto,Barquisimeto,10.042747,-69.35862,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Bender Qassim International Airport,Bender Qassim International Airport,BSA,HCMF,HCMF,SO,Somalia,SO-BR,Bosaso,Bosaso,11.275235,49.139231,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Batticaloa International Airport,Batticaloa International Airport,BTC,VCCB,VCCB,LK,Sri Lanka,LK-5,Batticaloa,Batticaloa,7.705073,81.677163,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Buka Airport,Buka Airport,BUA,AYBK,AYBK,PG,Papua New Guinea,PG-NSB,Buka Island,Buka Island,-5.422299,154.672698,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Joshua Mqabuko Nkomo International Airport,Joshua Mqabuko Nkomo International Airport,BUQ,FVJN,FVBU,ZW,Zimbabwe,ZW-BU,Bulawayo,Bulawayo,-20.016284,28.622897,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Bunia Airport,Bunia Airport,BUX,FZKA,FZKA,CD,Democratic Republic of the Congo,CD-IT,Bunia,Bunia,1.565743,30.220685,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Birdsville Airport,Birdsville Airport,BVI,YBDV,YBDV,AU,Australia,AU-QLD,,,-25.897499084472656,139.34800720214844,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
