airport_name,display_name,iata_code,icao_code,ourairports_ident,country_code,country_name,region_code,city,municipality,latitude,longitude,airport_type,scheduled_service,annual_passengers,passenger_year,passenger_tier,strategic_priority,automation_potential_score,automation_potential_tier,website,linkedin_url,source_identity,source_traffic,source_url,rejection_reason,traffic_source_url
Anaa Airport,Anaa Airport,AAA,NTGA,NTGA,PF,French Polynesia,PF-U-A,Anaa,Anaa,-17.3526,-145.509995,medium_airport,yes,3927,2022,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.aeroport.fr/view-statistiques/anaa,below_5m_passengers,https://www.aeroport.fr/view-statistiques/anaa
El Arish International Airport,El Arish International Airport,AAC,HEAR,HEAR,EG,Egypt,EG-SIN,El Arish,El Arish,31.055324,33.827964,large_airport,yes,33010,2013,medium_airport,medium,45,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.ehcaan.com/statistics.aspx#day,below_5m_passengers,http://www.ehcaan.com/statistics.aspx#day
Annaba Rabah Bitat Airport,Annaba Rabah Bitat Airport,AAE,DABB,DABB,DZ,Algeria,DZ-23,Annaba,Annaba,36.826781,7.81334,large_airport,yes,105229,2020,medium_airport,medium,45,medium,http://www.annabacity.net/dossiers/dossier_40_aeroport+annaba+-+rabah+bitat.html,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.egsa-constantine.dz/index.php/exploitation/statistiques-du-trafic,below_5m_passengers,http://www.egsa-constantine.dz/index.php/exploitation/statistiques-du-trafic
Aalborg Airport,Aalborg Airport,AAL,EKYT,EKYT,DK,Denmark,DK-81,Aalborg,Aalborg,57.094763,9.84993,large_airport,yes,1423024,2023,medium_airport,medium,45,medium,http://www.aal.dk,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.routesonline.com/airports/4891/aalborg-airport/news/299662526/an-eventful-year-at-aalborg-airport/,below_5m_passengers,https://www.routesonline.com/airports/4891/aalborg-airport/news/299662526/an-eventful-year-at-aalborg-airport/
Al Ain International Airport,Al Ain International Airport,AAN,OMAL,OMAL,AE,United Arab Emirates,AE-AZ,Al Ain,Al Ain,24.2617,55.6092,large_airport,yes,136519,2017,medium_airport,medium,45,medium,https://www.adac.ae/english/what-we-do/airports/al-ain-international-airport,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.scad.gov.abudhabi/Release%20Documents/SYB_2018_EN_9Sep.pdf,below_5m_passengers,https://www.scad.gov.abudhabi/Release%20Documents/SYB_2018_EN_9Sep.pdf
Aji Pangeran Tumenggung Pranoto International Airport,Aji Pangeran Tumenggung Pranoto International Airport,AAP,WALS,WALS,ID,Indonesia,ID-KI,Samarinda,Samarinda,-0.374478,117.250128,medium_airport,yes,662454,2022,medium_airport,medium,40,medium,https://aptpairport.id/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.instagram.com/p/CnMTJelBFXH/,below_5m_passengers,https://www.instagram.com/p/CnMTJelBFXH/
Anapa Vityazevo Airport,Anapa Vityazevo Airport,AAQ,URKA,URKA,RU,Russia,RU-KDA,Krasnyi Kurgan,Krasnyi Kurgan,45.002102,37.347301,medium_airport,yes,2931057,2021,medium_airport,medium,40,medium,https://www.aaqaero.ru/en/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://favt.gov.ru/dejatelnost-ajeroporty-i-ajerodromy-osnovnie-proizvodstvennie-pokazateli-aeroportov-obyom-perevoz/,below_5m_passengers,https://favt.gov.ru/dejatelnost-ajeroporty-i-ajerodromy-osnovnie-proizvodstvennie-pokazateli-aeroportov-obyom-perevoz/
Aarhus Airport,Aarhus Airport,AAR,EKAH,EKAH,DK,Denmark,DK-82,Aarhus,Aarhus,56.303331,10.618286,large_airport,yes,418930,2022,medium_airport,medium,45,medium,http://www.aar.dk/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://stat.trafikstyrelsen.dk/,below_5m_passengers,http://stat.trafikstyrelsen.dk/
Altay Xuedu Airport,Altay Xuedu Airport,AAT,ZWAT,ZWAT,CN,China,CN-65,Altay,Altay,47.749886,88.085808,medium_airport,yes,237627,2022,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx,below_5m_passengers,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx
Romeu Zema Airport,Romeu Zema Airport,AAX,SBAX,SBAX,BR,Brazil,BR-MG,Araxá,Araxá,-19.5632,-46.9604,medium_airport,yes,597,2020,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2020.csv,below_5m_passengers,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2020.csv
